system,target,forecast_origin,response,shock,horizon,irf,lower,upper,lower_quantile,upper_quantile,bootstrap_replications
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,commodity_growth,3,0.08630244508980581,-0.0012006276797327995,0.16522383756758052,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,unemployment_rate,3,-0.19213185894201432,-0.23250312490876548,-0.08820066442979231,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,inflation_expectations_business,3,0.18455670929292992,0.12296283677426366,0.2467947424534059,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,cash_rate,3,-0.011097257472534053,-0.05143457441088973,0.05902225932406516,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,commodity_growth,4,0.07732585745248047,-0.013348390336094598,0.1712235068624196,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,unemployment_rate,4,-0.2181635777428507,-0.2604386009414356,-0.10090072762500249,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,inflation_expectations_business,4,0.20335040238109173,0.12815170460139727,0.26655359232051135,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,cash_rate,4,0.006149660400709764,-0.046436994031133744,0.07722841448135749,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,commodity_growth,5,0.06835602859393924,-0.01944699188111155,0.16467098232722932,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,unemployment_rate,5,-0.22509961627543862,-0.26747086385401936,-0.09500151592821962,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,inflation_expectations_business,5,0.20073634148227665,0.11463589859269534,0.26181379667371507,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,cash_rate,5,0.023059055763940354,-0.0453167667707601,0.0917673779191236,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,commodity_growth,6,0.05690328307054588,-0.020926592511404198,0.14457845076361053,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,unemployment_rate,6,-0.21489399204474016,-0.2509456952952876,-0.0769669118103834,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,inflation_expectations_business,6,0.17960648022380468,0.0900865984430646,0.23454442667455383,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,cash_rate,6,0.0336621604266787,-0.05275601306411907,0.0949913565987057,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,commodity_growth,7,0.043899632149015266,-0.022264273336563223,0.13074101497203233,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,unemployment_rate,7,-0.1919297472089239,-0.22086068685704008,-0.05492663042665052,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,inflation_expectations_business,7,0.15050697382962372,0.06377828178623432,0.20026956730871395,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,cash_rate,7,0.03466666550323376,-0.06558028904133593,0.08968200079214436,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,commodity_growth,8,0.03282627949859729,-0.02154998338498929,0.11203284031177635,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,unemployment_rate,8,-0.16135045772104262,-0.1877470373012219,-0.030770926261648873,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,inflation_expectations_business,8,0.11769315768108081,0.03659908258013977,0.1640323640798706,0.1,0.9,1000
System B,trimmed_mean_cpi_yoy,2025Q4,trimmed_mean_cpi_yoy,cash_rate,8,0.026343024111675568,-0.08319039860694938,0.07418692319843147,0.1,0.9,1000
