model,predicted_action,confidence,p_cut,p_hold,p_hike,reportable,majority_vote_tie_break,target_quarter,forecast_origin,headline_forecast,trimmed_mean_forecast,reportable_model,reportable_action
threshold,hike,0.628,0.006,0.366,0.628,True,False,2026Q1,2025Q4,3.154202127141211,3.2984856103996223,threshold,hike
taylor_rule,cut,,,,,False,False,2026Q1,2025Q4,3.154202127141211,3.2984856103996223,threshold,hike
taylor_rule_estimated,hold,0.43052444328038314,0.1629024821180381,0.43052444328038314,0.40657307460157877,False,False,2026Q1,2025Q4,3.154202127141211,3.2984856103996223,threshold,hike
ordered_logit,hold,0.6974980595812317,0.1383592705870915,0.6974980595812317,0.1641426698316768,False,False,2026Q1,2025Q4,3.154202127141211,3.2984856103996223,threshold,hike
ordered_probit,hold,0.6753347730638033,0.14338506284042746,0.6753347730638033,0.1812801640957693,False,False,2026Q1,2025Q4,3.154202127141211,3.2984856103996223,threshold,hike
frank_hall_xgboost,hold,,,,,False,False,2026Q1,2025Q4,3.154202127141211,3.2984856103996223,threshold,hike
majority_vote_ensemble,hold,,,,,False,False,2026Q1,2025Q4,3.154202127141211,3.2984856103996223,threshold,hike
