target,horizon,feature,feature_label,is_exogenous,coef,abs_coef
Headline,6,cash_rate_change_lag1_x_unemployment_rate_change_lag1,Cash Rate Change x Unemployment Rate Change Interaction (lag 1),True,0.0,0.0
Headline,7,cpi_yoy_lag1,"Headline CPI YoY (lag 1, autoregressive)",False,0.0,0.0
Headline,7,cpi_yoy_lag4,"Headline CPI YoY (lag 4, autoregressive)",False,-0.0,0.0
Headline,7,cash_rate_change_lag1,Cash Rate Change (lag 1),True,-0.0,0.0
Headline,7,unemployment_rate_change_lag1,Unemployment Rate Change (lag 1),True,-0.0,0.0
Headline,7,inflation_expectations_business_lag1,Business Inflation Expectations (lag 1),True,0.0,0.0
Headline,7,ppi_growth_lag2,Producer Price Growth (lag 2),True,0.0,0.0
Headline,7,commodity_growth_lag1,Commodity Price Growth (lag 1),True,0.0,0.0
Headline,7,wti_growth_lag1,WTI Oil Price Growth (lag 1),True,0.0,0.0
Headline,7,ppi_growth_lag2_sq,Producer Price Growth Squared (lag 2),True,0.0,0.0
Headline,7,wti_growth_lag1_sq,WTI Oil Price Growth Squared (lag 1),True,0.130964,0.130964
Headline,7,cash_rate_change_lag1_x_unemployment_rate_change_lag1,Cash Rate Change x Unemployment Rate Change Interaction (lag 1),True,-0.0,0.0
Headline,8,cpi_yoy_lag1,"Headline CPI YoY (lag 1, autoregressive)",False,-0.0,0.0
Headline,8,cpi_yoy_lag4,"Headline CPI YoY (lag 4, autoregressive)",False,-0.0,0.0
Headline,8,cash_rate_change_lag1,Cash Rate Change (lag 1),True,-0.0,0.0
Headline,8,unemployment_rate_change_lag1,Unemployment Rate Change (lag 1),True,0.0,0.0
Headline,8,inflation_expectations_business_lag1,Business Inflation Expectations (lag 1),True,0.0,0.0
Headline,8,ppi_growth_lag2,Producer Price Growth (lag 2),True,0.0,0.0
Headline,8,commodity_growth_lag1,Commodity Price Growth (lag 1),True,0.0,0.0
Headline,8,wti_growth_lag1,WTI Oil Price Growth (lag 1),True,0.0,0.0
Headline,8,ppi_growth_lag2_sq,Producer Price Growth Squared (lag 2),True,0.0,0.0
Headline,8,wti_growth_lag1_sq,WTI Oil Price Growth Squared (lag 1),True,0.203963,0.203963
Headline,8,cash_rate_change_lag1_x_unemployment_rate_change_lag1,Cash Rate Change x Unemployment Rate Change Interaction (lag 1),True,-0.0,0.0
