target,model,forecast_origin,target_quarter,error,is_recent
Headline,ensemble,2020Q4,2021Q1,-0.371601,False
Headline,ensemble,2021Q1,2021Q2,1.11268,False
Headline,ensemble,2021Q2,2021Q3,0.473577,False
Headline,ensemble,2021Q3,2021Q4,0.769869,False
Headline,ensemble,2021Q4,2022Q1,1.843378,False
Headline,ensemble,2022Q1,2022Q2,1.699929,False
Headline,ensemble,2022Q2,2022Q3,1.551107,False
Headline,ensemble,2022Q3,2022Q4,1.210308,False
Headline,ensemble,2022Q4,2023Q1,0.675704,False
Headline,ensemble,2023Q1,2023Q2,0.050376,False
Headline,ensemble,2023Q2,2023Q3,0.078877,False
Headline,ensemble,2023Q3,2023Q4,-0.595413,False
Headline,ensemble,2023Q4,2024Q1,0.186971,False
Headline,ensemble,2025Q4,2026Q1,0.8457978728587889,True
Headline,sarima,2004Q4,2005Q1,-0.101032,False
Headline,sarima,2005Q1,2005Q2,-0.16657,False
Headline,sarima,2005Q2,2005Q3,0.060675,False
Headline,sarima,2005Q3,2005Q4,-0.284545,False
Headline,sarima,2005Q4,2006Q1,-0.016466,False
Headline,sarima,2006Q1,2006Q2,0.911334,False
Headline,sarima,2006Q2,2006Q3,-0.166732,False
Headline,sarima,2006Q3,2006Q4,-0.982269,False
Headline,sarima,2006Q4,2007Q1,-0.797157,False
Headline,sarima,2007Q1,2007Q2,0.445884,False
Headline,sarima,2007Q2,2007Q3,-0.324887,False
Headline,sarima,2007Q3,2007Q4,0.497815,False
Headline,sarima,2007Q4,2008Q1,0.68604,False
Headline,sarima,2008Q1,2008Q2,0.301682,False
Headline,sarima,2008Q2,2008Q3,-0.035134,False
Headline,sarima,2008Q3,2008Q4,-1.134978,False
Headline,sarima,2008Q4,2009Q1,-1.012866,False
Headline,sarima,2009Q1,2009Q2,-0.208213,False
Headline,sarima,2009Q2,2009Q3,0.100286,False
Headline,sarima,2009Q3,2009Q4,0.235647,False
Headline,sarima,2009Q4,2010Q1,0.046103,False
Headline,sarima,2010Q1,2010Q2,-0.330986,False
Headline,sarima,2010Q2,2010Q3,-0.277443,False
Headline,sarima,2010Q3,2010Q4,-0.22637,False
Headline,sarima,2010Q4,2011Q1,0.777992,False
