system,target,forecast_origin,quarter,shock,shock_z,flagged
System A,cpi_yoy,2025Q4,2012Q1,cpi_yoy,-1.473856096024509,False
System A,cpi_yoy,2025Q4,2012Q2,cpi_yoy,-0.3805614747573356,False
System A,cpi_yoy,2025Q4,2012Q3,cpi_yoy,1.3675999929396427,False
System A,cpi_yoy,2025Q4,2012Q4,cpi_yoy,0.6253714239954471,False
System A,cpi_yoy,2025Q4,2013Q1,cpi_yoy,1.2180791280576309,False
System A,cpi_yoy,2025Q4,2013Q2,cpi_yoy,0.7474300350175153,False
System A,cpi_yoy,2025Q4,2013Q3,cpi_yoy,-0.032980347641503364,False
System A,cpi_yoy,2025Q4,2013Q4,cpi_yoy,0.8880736773641184,False
System A,cpi_yoy,2025Q4,2014Q1,cpi_yoy,0.7558681227305596,False
System A,cpi_yoy,2025Q4,2014Q2,cpi_yoy,1.2140877545495752,False
System A,cpi_yoy,2025Q4,2014Q3,cpi_yoy,-0.23856235198509837,False
System A,cpi_yoy,2025Q4,2014Q4,cpi_yoy,-0.38383114992513906,False
System A,cpi_yoy,2025Q4,2015Q1,cpi_yoy,-0.588475011729063,False
System A,cpi_yoy,2025Q4,2015Q2,cpi_yoy,0.1659735899254844,False
System A,cpi_yoy,2025Q4,2015Q3,cpi_yoy,-0.1146640280340172,False
System A,cpi_yoy,2025Q4,2015Q4,cpi_yoy,0.16192451116461015,False
System A,cpi_yoy,2025Q4,2016Q1,cpi_yoy,-0.4733872492953927,False
System A,cpi_yoy,2025Q4,2016Q2,cpi_yoy,-0.7946914782656772,False
System A,cpi_yoy,2025Q4,2016Q3,cpi_yoy,0.23555490679531826,False
System A,cpi_yoy,2025Q4,2016Q4,cpi_yoy,-0.7183063110834569,False
System A,cpi_yoy,2025Q4,2017Q1,cpi_yoy,0.5619602152400404,False
System A,cpi_yoy,2025Q4,2017Q2,cpi_yoy,-0.7398203256122627,False
System A,cpi_yoy,2025Q4,2017Q3,cpi_yoy,-0.44297350318862316,False
System A,cpi_yoy,2025Q4,2017Q4,cpi_yoy,0.2887775843618421,False
System A,cpi_yoy,2025Q4,2018Q1,cpi_yoy,-0.2827429714799243,False
System A,cpi_yoy,2025Q4,2018Q2,cpi_yoy,-0.2859719470439731,False
System A,cpi_yoy,2025Q4,2018Q3,cpi_yoy,-1.1666465352839919,False
