target,model,n,nominal_coverage,empirical_coverage,significantly_miscalibrated
Headline,sarima,616,0.8,0.753247,True
Headline,elastic_net,424,0.8,0.676887,True
Headline,ensemble,424,0.8,0.665094,True
Trimmed mean,elastic_net,440,0.8,0.495455,True
Trimmed mean,ensemble,440,0.8,0.438636,True
Trimmed mean,sarima,632,0.8,0.681962,True
