segment,scenario,probability_weight,delta_unemployment_cumulative,pd_base,ur_sensitivity,lgd,ead_aud_m,pd_stressed,ecl_aud_m,ecl_aud_m_12m_probability_weighted,forecast_origin,target_quarter,horizon
personal_loans,downside,0.425,0.9821128128568666,0.0878,0.4,0.73,1663.0,0.09172845125142746,111.35742253472043,109.14825405821807,2025Q4,2026Q4,4
personal_loans,base,0.55,0.19959140406349096,0.0878,0.4,0.73,1663.0,0.08859836561625396,107.55752987447615,109.14825405821807,2025Q4,2026Q4,4
personal_loans,upside,0.025,-0.5064202413504633,0.0878,0.4,0.73,1663.0,0.0878,106.58832199999999,109.14825405821807,2025Q4,2026Q4,4
mortgages,downside,0.425,0.9821128128568666,0.0207,0.6,0.16,429996.0,0.0265926768771412,1829.5591498341134,1641.7618319210278,2025Q4,2026Q4,4
mortgages,base,0.55,0.19959140406349096,0.0207,0.6,0.16,429996.0,0.021897548424380946,1506.5373171664176,1641.7618319210278,2025Q4,2026Q4,4
mortgages,upside,0.025,-0.5064202413504633,0.0207,0.6,0.16,429996.0,0.0207,1424.1467519999999,1641.7618319210278,2025Q4,2026Q4,4
