quarter,unemployment_rate
1995Q1,8.765438233333333
1995Q2,8.364856566666667
1995Q3,8.370622566666666
1995Q4,8.390928500000001
1996Q1,8.4001152
1996Q2,8.415734866666666
1996Q3,8.622635266666666
1996Q4,8.6205908
1997Q1,8.621391066666666
1997Q2,8.482456566666668
1997Q3,8.374511700000001
1997Q4,7.977187499999999
1998Q1,7.840956133333333
1998Q2,7.733828733333333
1998Q3,7.7882881
1998Q4,7.3748021
1999Q1,7.082459
1999Q2,6.886110866666667
1999Q3,6.874404833333333
1999Q4,6.6339581333333335
2000Q1,6.650502033333333
2000Q2,6.302070100000001
2000Q3,5.989740533333333
2000Q4,6.172109266666666
2001Q1,6.366243933333333
2001Q2,6.869537533333333
2001Q3,6.867782666666667
2001Q4,6.979481766666666
2002Q1,6.6275595
2002Q2,6.404725666666667
2002Q3,6.280471133333333
2002Q4,6.157816866666667
2003Q1,6.056286166666666
2003Q2,6.051211533333333
2003Q3,5.9071963
2003Q4,5.708952
2004Q1,5.5373783
2004Q2,5.435813933333333
2004Q3,5.479516333333334
2004Q4,5.117552766666667
2005Q1,5.106783733333334
2005Q2,5.0571962
2005Q3,4.958602733333334
2005Q4,5.007952566666667
2006Q1,5.044254333333334
2006Q2,4.857371833333333
2006Q3,4.678365866666667
2006Q4,4.515483166666667
2007Q1,4.549238466666667
2007Q2,4.3249484
2007Q3,4.2552332999999996
2007Q4,4.353817833333333
2008Q1,4.086222633333334
2008Q2,4.258564
2008Q3,4.1850008333333335
2008Q4,4.441033366666667
2009Q1,5.307357366666667
2009Q2,5.729036
2009Q3,5.683215466666667
2009Q4,5.5578408999999995
2010Q1,5.3289932
2010Q2,5.290939833333333
2010Q3,5.124916533333333
2010Q4,5.090326233333333
2011Q1,4.9672569
2011Q2,4.9632171666666665
2011Q3,5.194893633333333
2011Q4,5.2052778
2012Q1,5.140940400000001
2012Q2,5.1192635
2012Q3,5.2759066
2012Q4,5.366588366666666
2013Q1,5.474768766666667
2013Q2,5.6312682999999994
2013Q3,5.7286164
2013Q4,5.840081433333334
2014Q1,5.899570700000001
2014Q2,5.927679333333333
2014Q3,6.169539133333333
2014Q4,6.253391966666666
2015Q1,6.202812866666666
2015Q2,6.017128733333333
2015Q3,6.178474766666667
2015Q4,5.834532633333333
2016Q1,5.796395033333333
2016Q2,5.6874937
2016Q3,5.6576064666666666
2016Q4,5.733405633333334
2017Q1,5.807673066666666
2017Q2,5.593200266666667
2017Q3,5.532623233333333
2017Q4,5.491421833333334
2018Q1,5.545387633333334
2018Q2,5.441253533333334
2018Q3,5.1852937
2018Q4,5.042751866666666
2019Q1,5.0437186333333335
2019Q2,5.225507400000001
2019Q3,5.252756266666666
2019Q4,5.171337833333333
2020Q1,5.186909333333333
2020Q2,6.9056799
2020Q3,7.050215966666666
2020Q4,6.7729957
2021Q1,5.932969166666666
2021Q2,5.2007346
2021Q3,4.664694133333334
2021Q4,4.6930859
2022Q1,4.0610144
2022Q2,3.7994325
2022Q3,3.5227551333333333
2022Q4,3.4929186333333333
2023Q1,3.6231456333333334
2023Q2,3.6039779000000003
2023Q3,3.6488515666666665
2023Q4,3.899197733333333
2024Q1,3.9113048
2024Q2,4.0399888666666675
2024Q3,4.109908833333333
2024Q4,4.008619466666667
2025Q1,4.094575966666667
2025Q2,4.157974933333333
2025Q3,4.3060484
2025Q4,4.2573268
