quarter,aud_usd
2010Q1,0.8988999999999999
2010Q2,0.8771
2010Q3,0.9190333333333333
2010Q4,0.9847333333333333
2011Q1,1.0140333333333333
2011Q2,1.0782666666666667
2011Q3,1.0475333333333332
2011Q4,1.0228666666666666
2012Q1,1.0618333333333334
2012Q2,1.0123666666666666
2012Q3,1.0430333333333335
2012Q4,1.0397666666666667
2013Q1,1.0365
2013Q2,0.9763999999999999
2013Q3,0.9097666666666666
2013Q4,0.9175
2014Q1,0.8977
2014Q2,0.9342
2014Q3,0.9141666666666666
2014Q4,0.8499333333333333
2015Q1,0.7735666666666666
2015Q2,0.7774666666666666
2015Q3,0.7151
2015Q4,0.7197999999999999
2016Q1,0.7299000000000001
2016Q2,0.7441
2016Q3,0.7555333333333333
2016Q4,0.7441
2017Q1,0.7633000000000001
2017Q2,0.7539000000000001
2017Q3,0.7908
2017Q4,0.7686000000000001
2018Q1,0.7843333333333332
2018Q2,0.7508333333333334
2018Q3,0.7304333333333334
2018Q4,0.7153
2019Q1,0.7167
2019Q2,0.6989333333333333
2019Q3,0.6787000000000001
2019Q4,0.6903
2020Q1,0.6474333333333333
2020Q2,0.6696
2020Q3,0.7225
2020Q4,0.7379666666666665
2021Q1,0.7692
2021Q2,0.7673
2021Q3,0.7307333333333333
2021Q4,0.7315333333333335
2022Q1,0.7225
2022Q2,0.7074666666666666
2022Q3,0.6803666666666667
2022Q4,0.6631
2023Q1,0.6826333333333334
2023Q2,0.6578333333333334
2023Q3,0.6541666666666667
2023Q4,0.6611333333333334
2024Q1,0.6541666666666667
2024Q2,0.6595333333333333
2024Q3,0.6743
2024Q4,0.6434333333333333
2025Q1,0.6239666666666667
2025Q2,0.6467333333333333
2025Q3,0.6536333333333334
2025Q4,0.6592333333333333
2026Q1,0.6991666666666667
2026Q2,0.7048666666666668
2026Q3,0.7098
