group_id,group_name,horizon_range,horizon_cap,features,selected_order,selected_seasonal_order,selected_by,group_origin_n,group_overall_metric_n,sample_size_note,model,horizon,n,rmse,mae
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",sarima,1,53,0.276673,0.200365
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",sarima,2,53,0.565798,0.379041
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",sarima,3,53,0.895781,0.568862
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",sarima,4,53,1.242531,0.785421
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",sarima,5,53,1.453936,0.926495
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",sarima,6,53,1.595919,1.03952
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",sarima,7,53,1.702591,1.121075
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",sarima,8,53,1.787218,1.193947
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,overall,424,1.580535,0.926179
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,1,53,1.23716,0.716981
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,2,53,1.255554,0.733962
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,3,53,1.272273,0.760377
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,4,53,1.279593,0.777358
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,5,53,1.798742,1.056604
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,6,53,1.845188,1.1
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,7,53,1.866538,1.126415
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag1;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,8,53,1.870173,1.137736
