model_family,target_column,forecast_origin,horizon,target_quarter,p10,p25,median,p75,p90
sarima,cpi_yoy,2025Q4,1,2026Q1,2.6776117127690413,3.030967046073407,3.385652787989062,3.7616523143304694,4.1136218026044675
sarima,cpi_yoy,2025Q4,2,2026Q2,2.474985297849367,2.9137712091116317,3.4581693256726416,4.030661728307889,4.504298061565443
sarima,cpi_yoy,2025Q4,3,2026Q3,1.8014993036741695,2.3888638873041517,3.1186965859355054,3.877234612779307,4.58754801000996
sarima,cpi_yoy,2025Q4,4,2026Q4,1.7749538385770276,2.4413257554932475,3.369748338270446,4.251640599166868,5.099908083106954
sarima,cpi_yoy,2025Q4,5,2027Q1,1.8868986781819856,2.663241602336316,3.5285713222154955,4.4530242860914875,5.323452662289737
sarima,cpi_yoy,2025Q4,6,2027Q2,1.506995692639142,2.3797418372599344,3.3170822749366597,4.186690137219447,5.017880260266553
sarima,cpi_yoy,2025Q4,7,2027Q3,1.613518384976364,2.476456648302462,3.316590101115411,4.296046770112589,5.200862066469348
sarima,cpi_yoy,2025Q4,8,2027Q4,1.466457594452963,2.3206322211010924,3.2227205029263333,4.2257756145395655,5.102085125961265
