feature,baseline_rmse,permuted_rmse,rmse_increase,n_windows,n_values,n_repeats,interpretation_note
commodity_growth_lag1,2.961879,2.998068,0.03619,13,104,10,"Small-sample chronological holdout; negative RMSE increases mean that this single permutation run improved RMSE and should be read as no robust positive importance, not as evidence of a beneficially harmful feature."
unemployment_rate_change_lag1,2.961879,2.985589,0.02371,13,104,10,"Small-sample chronological holdout; negative RMSE increases mean that this single permutation run improved RMSE and should be read as no robust positive importance, not as evidence of a beneficially harmful feature."
wti_growth_lag1,2.961879,2.973253,0.011374,13,104,10,"Small-sample chronological holdout; negative RMSE increases mean that this single permutation run improved RMSE and should be read as no robust positive importance, not as evidence of a beneficially harmful feature."
cash_rate_change_lag1,2.961879,2.957669,-0.00421,13,104,10,"Small-sample chronological holdout; negative RMSE increases mean that this single permutation run improved RMSE and should be read as no robust positive importance, not as evidence of a beneficially harmful feature."
ppi_growth_lag2,2.961879,2.906044,-0.055835,13,104,10,"Small-sample chronological holdout; negative RMSE increases mean that this single permutation run improved RMSE and should be read as no robust positive importance, not as evidence of a beneficially harmful feature."
cpi_yoy,2.961879,2.88405,-0.077829,13,104,10,"Small-sample chronological holdout; negative RMSE increases mean that this single permutation run improved RMSE and should be read as no robust positive importance, not as evidence of a beneficially harmful feature."
inflation_expectations_business_lag1,2.961879,2.876491,-0.085387,13,104,10,"Small-sample chronological holdout; negative RMSE increases mean that this single permutation run improved RMSE and should be read as no robust positive importance, not as evidence of a beneficially harmful feature."
