group_id,group_name,horizon_range,horizon_cap,features,level_change_selection_note,selected_order,selected_seasonal_order,selected_by,selection_aic,selection_bic,group_origin_n,group_overall_metric_n,previous_nested_origin_n,origin_drop_from_previous_nested_group,sample_size_note,model,horizon,n,rmse,mae
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,rba,5,53,1.928232,1.326719
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,rba,6,53,2.006505,1.381841
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,rba,7,53,2.017094,1.370132
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,rba,8,53,2.005284,1.363005
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,sarima,overall,424,1.685587,1.051686
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,sarima,1,53,0.634609,0.439273
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,sarima,2,53,1.074199,0.756338
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,sarima,3,53,1.468353,0.977024
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,sarima,4,53,1.874201,1.182918
LSTM,compact direct multihorizon,1-8,8,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,Reuses fixed SARIMAX Group D features.,fixed_lstm,,fixed_architecture,,,53,424,,,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; LSTM horizons 1-8 use only the past origin window.,sarima,5,53,1.933197,1.231237
