group_id,group_name,horizon_range,horizon_cap,features,selected_order,selected_seasonal_order,selected_by,group_origin_n,group_overall_metric_n,sample_size_note,model,horizon,n,rmse,mae
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",sarima,2,55,0.564203,0.382072
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",sarima,3,55,0.893147,0.577626
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",sarima,4,55,1.234885,0.793487
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",sarima,5,55,1.439425,0.928213
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",sarima,6,55,1.571963,1.025243
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",sarima,7,55,1.672614,1.092144
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",sarima,8,55,1.754709,1.156288
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,overall,440,1.57726,0.940227
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,1,55,1.254881,0.750909
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,2,55,1.256257,0.752727
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,3,55,1.264911,0.770909
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,4,55,1.276928,0.792727
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,5,55,1.838626,1.114545
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,6,55,1.839466,1.116364
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,7,55,1.837538,1.110909
ELASTIC_NET,regularized direct multihorizon,1-8,8,trimmed_mean_cpi_yoy_lag1;trimmed_mean_cpi_yoy_lag4;commodity_growth_lag1;wti_growth_lag1;commodity_growth_lag1_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,55,440,"Elastic Net horizons 1-8 use only the past origin row (direct multi-horizon, lag-safe feature set).",seasonal_naive,8,55,1.837884,1.112727
