model_family,target_column,forecast_origin,draw_id,horizon,target_quarter,value
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,6,4,2026Q4,3.4883724931717284
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,6,5,2027Q1,3.6256102502167518
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,6,6,2027Q2,3.6274193306841673
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,6,7,2027Q3,3.580550879418247
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,6,8,2027Q4,3.5411910985514705
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,7,1,2026Q1,3.1918953224999584
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,7,2,2026Q2,3.0268536432062114
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,7,3,2026Q3,2.784535598993882
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,7,4,2026Q4,2.638391369015309
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,7,5,2027Q1,2.5894443080742975
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,7,6,2027Q2,2.711893037287537
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,7,7,2027Q3,2.7540998786042703
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,7,8,2027Q4,2.8637017298120386
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,8,1,2026Q1,3.193222527378766
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,8,2,2026Q2,3.088507522442061
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,8,3,2026Q3,2.984398731293691
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,8,4,2026Q4,2.9707289961939636
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,8,5,2027Q1,3.0841202338514337
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,8,6,2027Q2,3.313704699898803
