group_id,group_name,horizon_range,horizon_cap,features,selected_order,selected_seasonal_order,selected_by,group_origin_n,group_overall_metric_n,sample_size_note,model,horizon,n,rmse,mae,level_change_selection_note,selection_aic,selection_bic,previous_nested_origin_n,origin_drop_from_previous_nested_group
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,sarima,1,53,0.603745,0.411548,,,,,
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,sarima,2,53,0.976318,0.705039,,,,,
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,sarima,3,53,1.392641,0.989358,,,,,
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,sarima,4,53,1.816791,1.307295,,,,,
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,sarima,5,53,1.89105,1.394385,,,,,
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,sarima,6,53,1.960994,1.457643,,,,,
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,sarima,7,53,1.976127,1.472539,,,,,
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,sarima,8,53,1.990967,1.505006,,,,,
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,seasonal_naive,overall,424,2.163358,1.518632,,,,,
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,seasonal_naive,1,53,1.734554,1.249057,,,,,
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,seasonal_naive,2,53,1.759342,1.281132,,,,,
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,seasonal_naive,3,53,1.787377,1.313208,,,,,
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,seasonal_naive,4,53,1.799528,1.333962,,,,,
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,seasonal_naive,5,53,2.458178,1.709434,,,,,
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,seasonal_naive,6,53,2.505616,1.754717,,,,,
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,seasonal_naive,7,53,2.510018,1.760377,,,,,
ELASTIC_NET,regularized direct multihorizon,1-8,8,cpi_yoy_lag1;cpi_yoy_lag4;cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1;ppi_growth_lag2_sq;wti_growth_lag1_sq;cash_rate_change_lag1_x_unemployment_rate_change_lag1,fixed_architecture,,elastic_net_cv_per_horizon,53,424,SARIMAX(D) remains lag-safety capped at horizon 1 because Group D includes lag-1 regressors; Elastic Net horizons 1-8 use only the past origin row.,seasonal_naive,8,53,2.506595,1.74717,,,,,
D,full core,1,1,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,"(1, 0, 1)","(0, 0, 1, 4)",aic,66,66,Copied from reports/model_comparison_sarimax.csv Group D; not intersected with the Elastic Net 8-horizon grid.,sarimax,overall,66,0.831969,0.622633,"cash_rate: AIC selected change over level with delta AIC 6.875. | unemployment_rate: AIC was inconclusive: level beat change by delta AIC 1.013, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1).",126.329817,149.370468,73.0,7.0
D,full core,1,1,cash_rate_change_lag1;unemployment_rate_change_lag1;inflation_expectations_business_lag1;ppi_growth_lag2;commodity_growth_lag1;wti_growth_lag1,"(1, 0, 1)","(0, 0, 1, 4)",aic,66,66,Copied from reports/model_comparison_sarimax.csv Group D; not intersected with the Elastic Net 8-horizon grid.,sarimax,1,66,0.831969,0.622633,"cash_rate: AIC selected change over level with delta AIC 6.875. | unemployment_rate: AIC was inconclusive: level beat change by delta AIC 1.013, below the 2.0 materiality threshold; selected stationary change transform because the EDA classifies the level series as I(1).",126.329817,149.370468,73.0,7.0
