model_family,target_column,forecast_origin,horizon,target_quarter,p10,p25,median,p75,p90
elastic_net_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,1,2026Q1,2.3753556496649773,2.516473867330734,2.8194688918072046,3.1708895718023173,4.260162594723538
elastic_net_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,2,2026Q2,2.441759927427337,2.5967686954167686,2.796914883979318,3.371996161249313,4.705899196203546
elastic_net_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,3,2026Q3,2.2417480023303393,2.4530099997217194,2.7500070237909817,3.68308495711412,4.72496230284632
elastic_net_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,4,2026Q4,2.1136671429313605,2.409595568767844,2.6574269110808895,3.6113278452326742,4.911327845232675
elastic_net_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,5,2027Q1,2.068065798490932,2.3353575992404263,2.7343223108782877,3.6343223108782876,5.205710868423397
elastic_net_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,6,2027Q2,1.9493745556474773,2.343704524507082,2.746607835403495,3.598426017221677,5.1052543061627516
elastic_net_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,7,2027Q3,1.970967741935484,2.316446824256672,2.770967741935484,3.7987626137303563,5.098762613730356
elastic_net_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,8,2027Q4,1.9706521739130438,2.3219679633867276,2.7706521739130436,3.807778774197539,5.10777877419754
