model_family,target_column,forecast_origin,horizon,target_quarter,p10,p25,median,p75,p90
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,1,2026Q1,3.0256156369928084,3.178207331166395,3.3112237484007365,3.4938549871328712,3.7464830523952615
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,2,2026Q2,2.9806240169825573,3.1567975474994787,3.395799952422815,3.6806437575268145,4.111427556729222
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,3,2026Q3,2.814290232906809,3.0567371771202096,3.384718687223949,3.804592784075699,4.33078693265218
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,4,2026Q4,2.657440665451207,2.9503156291804045,3.3281411604121107,3.836384183499004,4.555150912625129
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,5,2027Q1,2.546096240950541,2.91118653837695,3.305027943008295,3.8635425843467255,4.579159402421101
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,6,2027Q2,2.5061771946930516,2.856517469064233,3.307530786643901,3.904541767182578,4.557852362311341
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,7,2027Q3,2.4193750772566642,2.8032111642647592,3.293205354698276,3.8951531354224875,4.601849997180049
ensemble_trimmed_mean,trimmed_mean_cpi_yoy,2025Q4,8,2027Q4,2.3506020733420843,2.7607261084648496,3.265477045652396,3.8698065202404623,4.584931818233538
