model_family,target_column,forecast_origin,draw_id,horizon,target_quarter,value
ensemble,cpi_yoy,2025Q4,9,2,2026Q2,3.528056192009611
ensemble,cpi_yoy,2025Q4,9,3,2026Q3,4.390143125152514
ensemble,cpi_yoy,2025Q4,9,4,2026Q4,5.766923090905468
ensemble,cpi_yoy,2025Q4,9,5,2027Q1,6.4448670236291665
ensemble,cpi_yoy,2025Q4,9,6,2027Q2,6.930742186140711
ensemble,cpi_yoy,2025Q4,9,7,2027Q3,6.131848882437865
ensemble,cpi_yoy,2025Q4,9,8,2027Q4,4.707415147868652
ensemble,cpi_yoy,2025Q4,10,1,2026Q1,3.4262373390435235
ensemble,cpi_yoy,2025Q4,10,2,2026Q2,2.2609780569339994
ensemble,cpi_yoy,2025Q4,10,3,2026Q3,2.0723553758801927
ensemble,cpi_yoy,2025Q4,10,4,2026Q4,2.5911833926694934
ensemble,cpi_yoy,2025Q4,10,5,2027Q1,2.819671307107869
ensemble,cpi_yoy,2025Q4,10,6,2027Q2,3.1556803877995954
ensemble,cpi_yoy,2025Q4,10,7,2027Q3,4.346450478831738
ensemble,cpi_yoy,2025Q4,10,8,2027Q4,4.814833923305045
ensemble,cpi_yoy,2025Q4,11,1,2026Q1,3.1104759271928364
ensemble,cpi_yoy,2025Q4,11,2,2026Q2,2.7512806975883635
ensemble,cpi_yoy,2025Q4,11,3,2026Q3,4.0197745667263165
ensemble,cpi_yoy,2025Q4,11,4,2026Q4,3.5481568071103236
ensemble,cpi_yoy,2025Q4,11,5,2027Q1,4.210857157413846
ensemble,cpi_yoy,2025Q4,11,6,2027Q2,5.063189788283527
ensemble,cpi_yoy,2025Q4,11,7,2027Q3,5.05738960938549
ensemble,cpi_yoy,2025Q4,11,8,2027Q4,5.683074519948914
ensemble,cpi_yoy,2025Q4,12,1,2026Q1,3.0254631878214346
ensemble,cpi_yoy,2025Q4,12,2,2026Q2,2.890895620237623
ensemble,cpi_yoy,2025Q4,12,3,2026Q3,3.1500584655955937
ensemble,cpi_yoy,2025Q4,12,4,2026Q4,3.2086544449002665
ensemble,cpi_yoy,2025Q4,12,5,2027Q1,3.0891562025140273
ensemble,cpi_yoy,2025Q4,12,6,2027Q2,2.313042641732939
ensemble,cpi_yoy,2025Q4,12,7,2027Q3,2.064120170018713
ensemble,cpi_yoy,2025Q4,12,8,2027Q4,1.3270511503390456
ensemble,cpi_yoy,2025Q4,13,1,2026Q1,3.1141648525964643
ensemble,cpi_yoy,2025Q4,13,2,2026Q2,2.8568273584384696
ensemble,cpi_yoy,2025Q4,13,3,2026Q3,2.8956325007131065
ensemble,cpi_yoy,2025Q4,13,4,2026Q4,3.113386558300278
ensemble,cpi_yoy,2025Q4,13,5,2027Q1,4.101162224947469
ensemble,cpi_yoy,2025Q4,13,6,2027Q2,4.124400540408848
ensemble,cpi_yoy,2025Q4,13,7,2027Q3,3.2893781835758573
ensemble,cpi_yoy,2025Q4,13,8,2027Q4,3.211637692105051
ensemble,cpi_yoy,2025Q4,14,1,2026Q1,2.6844372829861034
ensemble,cpi_yoy,2025Q4,14,2,2026Q2,2.883699335626933
ensemble,cpi_yoy,2025Q4,14,3,2026Q3,3.016652836683538
ensemble,cpi_yoy,2025Q4,14,4,2026Q4,3.076973768986879
ensemble,cpi_yoy,2025Q4,14,5,2027Q1,2.916665363414379
ensemble,cpi_yoy,2025Q4,14,6,2027Q2,2.4983314400627497
ensemble,cpi_yoy,2025Q4,14,7,2027Q3,2.2469039669673925
ensemble,cpi_yoy,2025Q4,14,8,2027Q4,2.8336311516692243
ensemble,cpi_yoy,2025Q4,15,1,2026Q1,3.755290944172386
ensemble,cpi_yoy,2025Q4,15,2,2026Q2,3.1121414837505545
ensemble,cpi_yoy,2025Q4,15,3,2026Q3,3.6908062957127585
ensemble,cpi_yoy,2025Q4,15,4,2026Q4,4.7739181631154
ensemble,cpi_yoy,2025Q4,15,5,2027Q1,5.846081454714378
ensemble,cpi_yoy,2025Q4,15,6,2027Q2,6.575390003840514
ensemble,cpi_yoy,2025Q4,15,7,2027Q3,6.603151987115128
ensemble,cpi_yoy,2025Q4,15,8,2027Q4,6.108636058950019
ensemble,cpi_yoy,2025Q4,16,1,2026Q1,4.200209305981514
ensemble,cpi_yoy,2025Q4,16,2,2026Q2,4.509148606039318
ensemble,cpi_yoy,2025Q4,16,3,2026Q3,4.813470006090881
ensemble,cpi_yoy,2025Q4,16,4,2026Q4,4.928914676675202
ensemble,cpi_yoy,2025Q4,16,5,2027Q1,4.347667554227744
ensemble,cpi_yoy,2025Q4,16,6,2027Q2,4.0605655476283165
ensemble,cpi_yoy,2025Q4,16,7,2027Q3,3.368127130548952
ensemble,cpi_yoy,2025Q4,16,8,2027Q4,3.22552723465271
ensemble,cpi_yoy,2025Q4,17,1,2026Q1,2.6618340604891593
ensemble,cpi_yoy,2025Q4,17,2,2026Q2,1.9659604882590465
ensemble,cpi_yoy,2025Q4,17,3,2026Q3,1.4272403112822045
ensemble,cpi_yoy,2025Q4,17,4,2026Q4,1.9715547164861293
ensemble,cpi_yoy,2025Q4,17,5,2027Q1,2.3976043996937495
ensemble,cpi_yoy,2025Q4,17,6,2027Q2,2.7389998896851564
ensemble,cpi_yoy,2025Q4,17,7,2027Q3,2.438936846251129
ensemble,cpi_yoy,2025Q4,17,8,2027Q4,2.2723156594771416
ensemble,cpi_yoy,2025Q4,18,1,2026Q1,2.7246430696653094
ensemble,cpi_yoy,2025Q4,18,2,2026Q2,3.2118908388821232
ensemble,cpi_yoy,2025Q4,18,3,2026Q3,1.9054689297352105
ensemble,cpi_yoy,2025Q4,18,4,2026Q4,2.5677623304692405
ensemble,cpi_yoy,2025Q4,18,5,2027Q1,3.220826954661359
ensemble,cpi_yoy,2025Q4,18,6,2027Q2,2.8843429965757488
ensemble,cpi_yoy,2025Q4,18,7,2027Q3,4.45499252963222
ensemble,cpi_yoy,2025Q4,18,8,2027Q4,4.048756721520621
ensemble,cpi_yoy,2025Q4,19,1,2026Q1,3.5182324987854647
ensemble,cpi_yoy,2025Q4,19,2,2026Q2,3.0283544247481164
ensemble,cpi_yoy,2025Q4,19,3,2026Q3,2.445977964908182
ensemble,cpi_yoy,2025Q4,19,4,2026Q4,2.7408741654949305
ensemble,cpi_yoy,2025Q4,19,5,2027Q1,2.5668273724948047
ensemble,cpi_yoy,2025Q4,19,6,2027Q2,2.4885145781988323
ensemble,cpi_yoy,2025Q4,19,7,2027Q3,2.5116359003695545
ensemble,cpi_yoy,2025Q4,19,8,2027Q4,2.6042473080378814
ensemble,cpi_yoy,2025Q4,20,1,2026Q1,2.7688575241593574
ensemble,cpi_yoy,2025Q4,20,2,2026Q2,2.5829554779762596
ensemble,cpi_yoy,2025Q4,20,3,2026Q3,2.5078734677460677
ensemble,cpi_yoy,2025Q4,20,4,2026Q4,2.6790831626919767
ensemble,cpi_yoy,2025Q4,20,5,2027Q1,3.1413775779227535
ensemble,cpi_yoy,2025Q4,20,6,2027Q2,3.120889916756686
ensemble,cpi_yoy,2025Q4,20,7,2027Q3,3.3608290764194755
ensemble,cpi_yoy,2025Q4,20,8,2027Q4,3.9914882576905644
ensemble,cpi_yoy,2025Q4,21,1,2026Q1,3.4675673495252193
ensemble,cpi_yoy,2025Q4,21,2,2026Q2,4.886619867350299
